device_info_serial,date_time,latitude,longitude,altitude,temperature,satellites_used,positiondop,speed_2d,direction
311,2010-07-25 0:35:30,529.242.484,40.970.363,,,4,2.5,211.110.789.146.195,347.841.297.999.236
311,2010-07-25 1:16:03,529.314.552,40.946.026,,,3,4.3,57.017.140.495.722,249.116.214.618.659
311,2010-07-25 1:56:42,529.447.532,40.978.746,-10,,6,3.1,96.586.420.891.448,-286.049.604.180.326
311,2010-07-25 2:36:50,529.989.328,39.769.795,34,,4,6.1,135.764.943.910.208,-538.509.499.448.853
311,2010-07-25 3:17:24,531.887.708,37.024.955,25,,4,4.1,161.925.899.545.692,136.139.036.926.353
311,2010-07-25 3:57:56,533.847.113,37.734.809,46,,4,8.7,799.593.645.895.314,145.925.972.153.979
311,2010-07-25 4:38:44,53.305.484,39.468.659,26,,5,5.8,686.075.637.939.417,-177.670.955.135.134
311,2010-07-25 5:19:19,533.050.689,39.469.133,11,,5,8.4,458.968.965.361.495,171.880.206.610.271
311,2010-07-25 5:59:51,532.203.161,40.075.979,-11,,6,2.9,675.030.226.804.088,147.363.187.704.099
311,2010-07-25 6:20:02,531.596.309,40.704.479,30,,4,6,647.680.471.204.519,177.850.737.928.145
311,2010-07-25 6:40:16,530.927.957,41.005.328,-3,,5,4.4,887.257.534.447.354,111.906.731.337.269
311,2010-07-25 7:01:04,530.432.578,4.140.893,-3,,5,4.3,424.660.537.818.505,1.653.676.740.381
311,2010-07-25 7:21:20,530.410.844,41.415.567,-7,,4,9.8,531.665.980.102.868,-146.167.156.390.375
311,2010-07-25 7:41:54,530.201.266,41.303.668,-20,,4,6.4,915.670.244.879.199,-155.687.731.111.047
311,2010-07-25 8:02:36,529.722.216,41.062.678,9,,5,5.3,620.280.444.981.933,264.668.217.673.151
311,2010-07-25 8:23:08,529.722.639,41.062.343,15,,6,3.3,325.729.213.598.221,-442.303.986.754.372
311,2010-07-25 9:04:14,529.281.113,40.921.007,-19,,5,4.9,884.840.098.312.763,174.548.457.374.153
311,2010-07-25 9:24:38,529.141.679,40.957.033,-1,,5,4,,
311,2010-07-25 9:44:54,528.659.663,41.034.482,25,,5,4.2,829.183.798.482.046,-17.845.451.153.337
311,2010-07-25 10:05:36,527.826.049,42.446.355,61,,6,2.1,117.523.376.312.801,10.454.081.271.028
311,2010-07-25 10:25:57,527.244.874,44.255.104,53,,6,2.2,114.040.210.907.423,140.655.348.921.768
311,2010-07-25 10:46:16,526.783.536,44.227.001,-8,,5,5.4,105.120.789.567.281,165.224.202.823.095
311,2010-07-25 11:06:38,526.722.232,44.260.114,-10,,6,2.6,5.193.884.080.856,161.328.039.962.004
311,2010-07-25 11:27:05,526.656.908,44.282.488,-9,,4,9.5,696.379.115.746.161,-163.994.012.471.432
311,2010-07-25 11:47:20,526.595.914,4.427.123,-12,,5,2.4,642.261.234.773.755,-162.032.969.603.955
311,2010-07-25 12:07:33,526.557.545,44.255.968,-9,,5,2.4,296.984.775.933.668,-160.832.497.638.041
311,2010-07-25 12:27:44,526.528.431,44.243.155,-7,,6,2,302.629.311.925.376,175.951.349.372.532
311,2010-07-25 12:48:18,527.071.841,44.554.857,7,,6,3.7,987.160.048.049.697,119.449.420.590.673
311,2010-07-25 13:09:23,527.215.134,44.144.113,4,,5,2.7,120.183.173.942.912,-584.815.829.069.073
311,2010-07-25 13:30:12,527.802.142,45.085.438,34,,5,9.1,148.350.427.209.634,625.809.412.763.763
311,2010-07-25 13:50:32,528.804.307,46.525.497,,,3,4.3,114.929.673.868.818,187.072.694.693.553
311,2010-07-25 14:10:47,529.868.333,47.168.127,,,3,3.4,130.900.490.807.827,221.833.582.497.899
311,2010-07-25 14:31:11,530.081.086,47.185.861,,,3,3.6,12.564.201.512.638,133.302.620.173.341
311,2010-07-25 14:52:14,530.082.593,47.181.146,-2,,5,9.1,171.457.147.078.326,100.471.859.011.465
311,2010-07-25 15:13:33,530.187.904,47.238.678,-3,,4,7.6,199.754.427.035.702,-862.233.248.648.114
311,2010-07-25 15:33:56,529.985.753,4.719.522,-6,,4,6.4,137.309.358.562.897,143.473.123.523.996
311,2010-07-25 15:54:31,52.892.936,47.128.046,14,,5,3.1,102.453.618.395.771,-174.794.423.401.802
311,2010-07-25 16:15:15,527.924.315,46.979.295,-10,,5,2.7,812.151.582.236.124,-763.229.174.616.493
311,2010-07-25 16:35:31,527.924.298,46.979.438,-6,,6,2.3,222.255.147.874.287,-122.038.165.373.716
311,2010-07-25 16:56:02,527.753.639,47.014.843,16,,5,4,142.596.316.047.897,145.534.210.925.061
311,2010-07-25 17:16:15,526.950.016,47.385.783,-8,,4,9.5,824.266.038.500.463,329.396.043.887.656
311,2010-07-25 17:36:45,526.946.316,47.391.424,-11,,4,5.2,137.466.235.404.799,-104.873.643.911.454
311,2010-07-25 17:57:07,527.137.011,47.207.968,-5,,4,4.2,180.467.102.109.596,132.938.163.666.452
311,2010-07-25 18:38:12,527.136.781,47.203.392,-5,,6,5.9,130.123.192.745.088,560.102.672.946.189
311,2010-07-25 19:18:45,527.147.934,47.217.015,-6,,5,3.1,392.160.718.402.907,-630.985.603.873.666
311,2010-07-25 19:59:18,527.227.907,47.264.975,22,,6,3.7,138.815.380.254.008,44.187.079.117.712
311,2010-07-25 20:39:43,527.289.633,47.325.978,0,,5,4.8,151.523.079.896.137,449.687.573.369.036
311,2010-07-25 21:20:05,527.286.932,47.327.941,2,,5,4.5,754.098.936.696.146,356.852.927.401.827
311,2010-07-25 22:40:48,527.289.475,47.326.547,-5,,6,3.3,640.215.380.513.316,736.915.545.564.949
311,2010-07-25 23:21:13,527.289.401,47.327.878,0,,4,4.4,132.654.171.186.113,-612.401.470.143.854
311,2010-07-26 0:02:36,527.286.162,47.323.576,-38,,5,3.7,171.503.164.793.725,-141.009.116.785.289
311,2010-07-26 0:43:14,527.284.005,47.326.428,-2,,7,3,110.417.031.314.046,129.199.372.928.154
311,2010-07-26 1:24:10,527.284.127,4.732.477,-8,,6,2.2,356.332.342.812.943,115.869.398.366.841
311,2010-07-26 2:45:12,5.272.843,47.323.014,-9,,5,4.1,11.045.229.257.049,896.322.479.864.704
311,2010-07-26 3:26:06,527.284.511,47.323.712,-2,,6,3.1,240.567.087.742.743,15.977.680.408.039
311,2010-07-26 4:06:41,527.037.193,47.445.279,,,3,4.1,911.207.380.138.715,-834.757.317.728.913
311,2010-07-26 4:48:07,526.946.467,47.374.257,,,3,6.9,758.082.435.719.491,-872.696.821.709.912
311,2010-07-26 5:28:42,526.869.799,47.243.529,-7,,7,3.1,60.616.915.088.622,180
311,2010-07-26 6:01:24,526.865.561,47.244.978,-8,,7,2.5,107.694.355.382.326,255.528.527.120.583
311,2010-07-26 6:21:46,526.702.167,46.395.481,56,,7,2.6,100.128.217.091.664,-12.815.318.165.387
311,2010-07-26 6:42:11,526.906.872,46.339.583,-5,,6,3.4,200.455.350.088.516,-868.585.912.784.967
311,2010-07-26 7:02:42,52.700.823,46.362.499,28,,5,4.5,481.136.539.172.668,-807.253.113.244.758
311,2010-07-26 7:23:14,526.782.938,46.033.481,-6,,5,3.2,350.138.575.342.845,-174.684.018.712.633
311,2010-07-26 7:43:57,526.756.125,45.755.499,,,3,6.1,329.553.996.115.739,-846.363.390.026.515
311,2010-07-26 8:04:12,526.848.581,45.728.391,,,3,5.7,598.413.688.462.916,159.971.045.770.117
311,2010-07-26 8:24:52,527.079.739,45.175.854,,,3,5.9,598.322.579.219.437,-917.768.378.438.661
311,2010-07-26 8:45:38,527.090.152,44.582.208,-10,,6,3.5,451.773.634.870.147,-171.360.695.213.631
311,2010-07-26 9:06:15,526.714.821,43.970.681,20,,5,4.4,125.824.149.411.654,-154.003.947.366.213
311,2010-07-26 9:26:33,526.205.791,43.141.017,7,,4,7.2,323.340.087.189.743,-132.912.827.818.244
311,2010-07-26 9:46:52,525.882.896,43.068.431,-8,,4,5.5,320.076.131.717.063,-136.225.658.315.076
311,2010-07-26 10:07:05,52.561.105,42.662.973,1,,4,4.4,990.835.503.170.771,-16.701.462.432.921
311,2010-07-26 10:27:44,52.563.105,42.529.847,2,,6,6.5,633.083.748.745.264,-169.362.862.955.722
311,2010-07-26 10:48:03,525.545.338,42.464.963,-5,,6,3.6,771.296.965.753.606,-13.316.140.166.326
311,2010-07-26 11:08:26,52.546.873,42.388.549,-9,,6,2.8,733.954.336.679.065,-163.238.313.589.571
311,2010-07-26 11:28:33,525.405.465,42.324.226,-11,,6,2.5,424.028.071.474.918,-125.470.024.533.173
311,2010-07-26 11:49:00,525.351.448,42.287.643,-11,,6,2.2,388.330.737.766.054,-991.496.056.509.611
311,2010-07-26 12:09:42,525.285.575,42.219.743,-7,,6,2,707.666.467.935.527,-124.245.117.821.412
311,2010-07-26 12:30:15,525.239.961,4.215.452,-9,,5,4.3,303.455.669.615.941,-103.479.872.542.454
311,2010-07-26 12:50:44,525.305.521,42.185.529,-6,,5,4,885.266.546.652.935,-138.266.359.050.755
311,2010-07-26 13:11:18,52.499.495,42.294.223,,,3,5.5,6.936.044.584.271,-917.431.807.107.447
311,2010-07-26 13:31:45,525.026.249,42.735.157,-2,,4,3.2,618.544.258.349.247,-113.705.241.177.979
311,2010-07-26 13:52:21,525.021.976,42.676.758,,,3,3.4,233.830.455.941.346,-762.504.433.346.224
311,2010-07-26 14:58:42,525.909.386,42.641.618,-4,,5,3.8,371.333.258.602.769,138.378.940.547.993
311,2010-07-26 15:19:00,525.975.045,42.634.001,-3,,5,4.2,832.339.061.251.958,-192.569.320.178.373
311,2010-07-26 15:39:28,525.855.742,42.352.734,27,,5,3.2,159.838.866.864.682,157.585.759.757.079
311,2010-07-26 16:00:06,525.853.883,42.305.073,32,,5,2.4,702.900.329.292.654,-725.194.684.315.124
311,2010-07-26 16:20:35,525.096.301,42.544.494,116,,4,3.1,470.354.107.001.595,-634.613.792.872.809
311,2010-07-26 16:41:09,524.998.117,42.542.597,,,3,5.2,161.996.640.158.115,-149.803.810.780.537
311,2010-07-26 17:02:24,525.041.052,42.916.284,-1,,5,2.5,303.804.857.235.333,134.110.869.705.521
311,2010-07-26 17:23:06,525.185.036,43.065.066,-3,,4,6.5,103.305.127.701.564,736.277.234.344.209
311,2010-07-26 17:44:53,525.698.919,43.813.621,13,,4,4.4,111.535.683.615.153,420.084.276.554.949
311,2010-07-26 18:26:11,526.751.539,45.309.745,,,3,2.6,961.652.736.112.371,54.560.288.432.428
311,2010-07-26 19:07:14,528.109.835,46.812.391,23,,6,3.3,704.591.291.970.833,167.889.772.676.929
311,2010-07-26 19:47:51,530.043.791,4.721.216,19,,6,7,983.140.884.505.722,-226.521.700.897.013
